ts,u,i,label,idx
421684,1,1,u0_i0,852
422183,1,5,u0_i4,853
422503,1,1,u0_i0,854
422979,1,3,u0_i2,855
423306,1,1,u0_i0,856
423693,1,5,u0_i4,857
424016,1,1,u0_i0,858
424501,1,4,u0_i3,859
424823,1,1,u0_i0,860
425354,1,2,u0_i1,861
425678,1,1,u0_i0,862
426133,1,5,u0_i4,863
426457,1,1,u0_i0,864
427008,1,2,u0_i1,865
427331,1,1,u0_i0,866
427741,1,2,u0_i1,867
428061,1,1,u0_i0,868
428440,1,4,u0_i3,869
428766,1,1,u0_i0,870
429308,1,5,u0_i4,871
429632,1,1,u0_i0,872
430143,1,2,u0_i1,873
430467,1,1,u0_i0,874
431002,1,2,u0_i1,875
431321,1,1,u0_i0,876
431730,1,2,u0_i1,877
432050,1,1,u0_i0,878
432464,1,2,u0_i1,879
432784,1,1,u0_i0,880
433210,1,3,u0_i2,881
433536,1,1,u0_i0,882
433992,1,3,u0_i2,883
434313,1,1,u0_i0,884
434753,1,6,u0_i5,885
435077,1,1,u0_i0,886
435630,1,4,u0_i3,887
435954,1,1,u0_i0,888
436376,1,3,u0_i2,889
436699,1,1,u0_i0,890
437097,1,6,u0_i5,891
437421,1,1,u0_i0,892
437975,1,4,u0_i3,893
438298,1,1,u0_i0,894
438755,1,2,u0_i1,895
439078,1,1,u0_i0,896
439614,1,6,u0_i5,897
439940,1,1,u0_i0,898
440361,1,3,u0_i2,899
440685,1,1,u0_i0,900
441161,1,2,u0_i1,901
441485,1,1,u0_i0,902
442035,1,4,u0_i3,903
442359,1,1,u0_i0,904
442983,1,4,u0_i3,905
443303,1,1,u0_i0,906
443833,1,2,u0_i1,907
444156,1,1,u0_i0,908
444629,1,2,u0_i1,909
444948,1,1,u0_i0,910
445515,1,6,u0_i5,911
445838,1,1,u0_i0,912
446302,1,5,u0_i4,913
446625,1,1,u0_i0,914
447079,1,4,u0_i3,915
447402,1,1,u0_i0,916
447987,1,4,u0_i3,917
448306,1,1,u0_i0,918
448766,1,3,u0_i2,919
449090,1,1,u0_i0,920
449582,1,4,u0_i3,921
449905,1,1,u0_i0,922
450373,1,4,u0_i3,923
450693,1,1,u0_i0,924
451257,1,4,u0_i3,925
451578,1,1,u0_i0,926
452062,1,2,u0_i1,927
