Target,Neibour,neibour_inverse,Neibour-start,start_inverse,Neibour-end,end_inverse,Score
5,0,0,-4,1,-4,1,48
7,-2,0,0,0,0,0,48
3,0,0,0,0,2,1,48
10,1,1,0,0,3,0,48
2,1,1,2,0,2,0,47
3,2,1,0,1,-4,0,47
8,-2,1,3,1,3,1,47
7,-3,0,0,1,0,1,47
5,0,1,-1,1,-4,0,47
1,3,1,-2,1,-2,1,47
3,0,1,-1,1,-1,1,47
2,3,1,-4,0,-4,0,47
7,-2,1,0,0,3,0,47
3,1,1,-1,1,-1,1,46
1,2,1,0,0,2,0,46
9,2,0,0,0,0,0,46
4,0,1,0,0,-1,0,46
5,-3,0,3,1,3,1,46
1,0,1,2,0,2,0,46
10,2,0,1,1,1,1,45
2,2,1,-2,1,-2,1,45
7,-3,0,2,1,2,1,45
1,1,1,0,0,0,0,45
3,0,1,0,1,0,1,45
7,-3,1,4,0,4,0,45
4,0,1,0,1,-2,1,45
8,2,1,-3,1,-3,1,45
8,0,1,-2,1,-2,0,45
2,2,1,-1,0,-2,1,45
5,0,0,0,0,-4,0,45
3,0,1,1,0,1,0,44
10,4,1,0,0,-4,1,44
4,0,0,0,0,-3,0,44
7,-1,0,-2,1,-2,1,44
1,4,0,0,0,-3,1,44
6,0,0,-1,0,-4,0,44
2,-1,1,3,0,3,0,44
2,3,1,-1,1,-1,1,43
2,1,0,-2,0,-2,0,43
6,-4,1,3,1,3,1,43
7,-1,1,-2,1,-2,0,43
10,3,0,-3,1,-3,1,43
3,-1,0,0,0,3,0,43
6,-2,1,2,1,2,1,43
10,2,0,2,0,2,0,43
5,-1,0,-2,1,-2,1,43
2,2,1,1,0,1,0,42
7,1,0,-1,0,-2,0,42
7,-2,1,3,1,3,1,42
8,1,0,-3,1,-3,1,42
7,-2,0,0,1,0,1,42
5,-1,0,0,1,0,1,42
1,2,0,-2,1,-2,0,42
6,-1,1,1,0,1,0,42
2,-1,1,0,0,3,0,42
8,0,0,0,0,1,1,42
6,-2,0,-2,1,-2,1,42
1,0,0,0,0,1,0,42
2,-1,1,2,0,2,0,42
4,1,0,-3,1,-3,1,42
7,-1,1,1,1,2,1,41
8,2,0,0,1,-4,0,41
3,1,0,1,1,1,1,41
1,4,0,-2,0,-2,0,41
4,1,1,0,0,-4,1,41
10,0,1,4,0,4,0,41
5,0,0,-3,1,0,1,41
5,-2,1,-2,1,-2,1,41
5,-2,1,1,0,1,0,41
10,2,1,-2,1,-2,1,41
8,-2,1,2,0,2,0,41
8,2,0,0,0,0,1,41
10,3,1,0,0,-3,1,41
1,0,0,0,0,0,1,41
6,0,1,-3,1,-3,1,40
7,-3,0,1,1,1,1,40
9,-1,1,1,1,1,1,40
1,0,0,0,0,3,0,40
6,-2,0,0,0,-2,1,40
3,0,0,2,1,-2,1,40
1,3,0,0,0,-2,0,40
6,-3,1,-1,1,-1,1,39
6,-3,1,3,0,3,0,39
3,0,0,-2,0,-2,1,39
4,1,0,-2,0,-2,0,39
1,0,0,4,0,2,1,39
9,1,0,0,0,0,0,39
3,2,0,-4,0,-4,0,39
5,0,0,-1,1,-1,1,39
4,1,0,-4,0,-4,0,39
9,2,1,-2,1,-2,1,39
4,-3,1,3,0,3,0,39
10,4,1,-2,1,-4,0,39
7,-3,0,0,0,0,1,38
5,0,1,-3,0,-3,0,38
4,1,1,-2,0,-2,0,38
1,0,1,3,1,3,1,38
5,-1,0,1,1,1,1,38
7,-1,0,-1,1,2,1,38
7,0,1,0,0,-2,0,38
10,0,1,3,1,3,1,38
1,3,1,1,0,1,0,38
3,1,0,0,0,-3,1,38
8,1,1,-2,1,-2,1,38
1,2,1,1,0,1,0,38
8,2,0,-1,1,-4,0,38
2,0,0,0,0,2,1,37
2,-1,1,1,1,1,1,37
7,1,0,0,0,0,1,37
1,4,1,-4,0,-4,0,37
5,-1,1,1,0,1,0,37
2,3,1,-4,1,-4,1,37
2,3,1,0,0,-4,1,37
8,1,1,1,0,1,0,37
4,0,1,-2,1,-2,1,37
1,4,0,-2,1,-2,1,37
3,1,1,-1,0,-2,1,37
7,-1,0,0,0,-2,1,37
3,1,1,-3,1,-3,1,36
2,-1,0,2,0,2,0,36
1,3,1,-3,0,-3,0,36
7,1,1,-2,0,-2,0,36
3,0,0,0,1,2,1,36
7,-3,0,0,0,4,0,36
4,-3,1,0,1,0,1,36
5,-1,0,-2,0,-2,0,35
10,1,1,3,0,3,0,35
2,1,1,1,0,1,0,35
6,-2,1,1,1,1,1,35
6,0,0,-3,1,-3,1,35
2,2,1,-2,0,-2,0,35
8,2,1,0,0,-3,0,35
10,1,0,0,0,0,0,35
1,2,0,1,1,2,1,35
5,-1,1,0,1,0,1,35
6,-1,0,-3,1,-3,1,34
2,-1,0,1,0,1,0,34
6,-3,0,0,0,0,0,34
7,1,0,0,1,-4,0,34
3,1,0,0,0,1,0,34
4,-2,0,3,1,3,1,34
6,-4,0,0,0,3,0,34
4,-3,1,2,1,2,1,34
10,4,1,0,0,-3,0,34
6,-1,0,0,0,-1,0,34
3,0,1,0,0,2,0,34
4,0,0,-2,0,-2,0,33
4,0,1,-1,0,-2,1,33
10,3,0,-2,0,-2,0,33
10,4,0,0,0,-4,1,33
6,-4,0,2,1,2,1,33
1,4,1,0,1,-4,0,33
6,-2,1,1,0,1,0,33
1,1,0,1,0,1,0,33
2,0,0,1,0,0,1,33
3,0,0,2,0,-2,0,33
8,2,0,-4,0,-4,0,32
7,-3,1,0,1,0,1,32
1,0,0,3,0,4,0,32
7,1,0,-1,1,-4,0,32
4,-1,1,2,0,2,0,32
4,-2,0,1,0,1,1,32
7,-1,0,2,0,2,1,32
6,-4,0,3,0,3,0,32
8,0,1,1,1,2,1,32
7,-1,0,0,0,-1,1,32
2,2,1,-3,1,-3,1,31
5,-2,1,0,0,2,0,31
1,4,1,0,0,0,1,31
8,2,1,-2,1,-4,0,31
5,-1,0,-3,0,-3,0,31
4,1,0,-3,0,-3,0,31
8,2,1,0,0,-3,1,31
4,-3,1,0,0,4,0,31
3,1,0,-3,0,-2,1,31
10,3,1,-3,0,-2,1,31
5,-4,0,4,0,4,0,31
10,2,0,-1,1,-1,1,31
7,-2,1,0,1,0,1,31
6,0,0,0,0,-3,0,31
10,3,1,0,0,1,0,31
10,0,1,0,0,2,0,31
4,-1,1,-1,1,-1,1,31
4,1,1,-1,0,-2,0,31
7,-3,1,1,0,1,0,31
5,-2,0,0,0,1,0,31
7,-3,1,3,0,3,0,30
10,0,1,2,0,2,0,30
2,1,0,2,1,2,1,30
2,0,0,-1,1,3,1,30
3,-2,1,2,0,2,0,30
10,3,0,0,0,1,0,30
5,-2,1,0,1,0,1,30
4,-2,0,0,0,1,0,30
1,3,0,0,1,0,1,30
6,-3,1,1,1,3,1,30
10,3,1,0,1,0,1,30
1,4,1,-1,1,-4,0,30
4,-3,1,0,0,0,1,29
2,1,0,-2,1,-2,0,29
6,-4,0,2,0,2,0,29
10,3,1,0,0,1,1,29
2,1,0,1,1,2,1,29
7,1,1,-3,1,-3,1,29
4,-3,1,1,1,1,1,29
1,0,1,2,1,2,1,28
2,0,0,0,0,3,1,28
1,2,0,2,1,2,1,28
1,2,1,-1,1,2,1,28
2,2,0,-3,0,-2,1,28
10,3,0,0,0,-2,0,28
1,2,0,-2,0,-2,0,28
10,1,1,1,1,3,1,28
1,2,0,1,0,1,0,28
8,0,0,0,0,-2,0,28
6,0,0,-2,1,0,0,28
5,-1,1,-3,0,-3,0,27
2,1,1,-2,1,-2,1,27
5,-4,1,2,0,2,0,27
9,3,1,0,0,0,0,27
8,1,1,1,1,1,1,27
1,0,0,0,0,2,1,27
5,0,0,-1,0,0,0,27
10,0,1,1,0,1,0,27
4,1,1,0,0,0,1,27
6,-1,1,0,0,-2,0,27
8,1,1,-1,1,-1,1,27
8,-2,0,4,0,4,0,27
3,-1,0,-1,1,-1,1,27
10,4,1,-3,1,-3,1,27
8,-1,1,1,1,3,1,27
4,0,0,0,0,0,1,27
5,-4,1,2,1,2,1,27
2,1,1,0,0,2,0,27
2,1,1,2,1,-1,0,26
4,-3,0,0,1,0,1,26
8,-2,0,0,0,3,0,26
4,0,1,-3,1,-3,1,26
3,1,0,-1,0,-1,0,26
5,-1,1,-2,1,-2,1,26
3,0,1,-2,1,-2,1,26
