Value,First Occurrence Position
5,"(1918154, 0)"
0,"(1919453, 0)"
1,"(1921406, 0)"
0,"(1922714, 0)"
4,"(1925089, 0)"
0,"(1926396, 0)"
5,"(1928255, 0)"
0,"(1929549, 0)"
4,"(1931277, 0)"
0,"(1932574, 0)"
2,"(1934691, 0)"
0,"(1935990, 0)"
1,"(1937646, 0)"
0,"(1938939, 0)"
1,"(1940866, 0)"
0,"(1942146, 0)"
2,"(1944379, 0)"
0,"(1945673, 0)"
4,"(1948029, 0)"
0,"(1949324, 0)"
1,"(1951406, 0)"
0,"(1952700, 0)"
2,"(1955163, 0)"
0,"(1956458, 0)"
2,"(1958893, 0)"
0,"(1960171, 0)"
1,"(1962057, 0)"
0,"(1963354, 0)"
1,"(1965508, 0)"
0,"(1966786, 0)"
4,"(1968345, 0)"
0,"(1969642, 0)"
4,"(1971498, 0)"
0,"(1972776, 0)"
4,"(1974669, 0)"
0,"(1975959, 0)"
5,"(1977488, 0)"
0,"(1978783, 0)"
4,"(1981090, 0)"
0,"(1982387, 0)"
2,"(1984710, 0)"
0,"(1986006, 0)"
3,"(1988127, 0)"
0,"(1989423, 0)"
2,"(1991466, 0)"
0,"(1992761, 0)"
3,"(1994523, 0)"
0,"(1995819, 0)"
5,"(1997560, 0)"
0,"(1998861, 0)"
1,"(2001361, 0)"
0,"(2002652, 0)"
1,"(2004698, 0)"
0,"(2005974, 0)"
5,"(2008285, 0)"
0,"(2009579, 0)"
5,"(2011156, 0)"
0,"(2012435, 0)"
4,"(2013962, 0)"
0,"(2015258, 0)"
3,"(2017553, 0)"
0,"(2018845, 0)"
5,"(2021233, 0)"
0,"(2022528, 0)"
1,"(2024665, 0)"
0,"(2025961, 0)"
1,"(2027690, 0)"
0,"(2028971, 0)"
1,"(2030516, 0)"
0,"(2031795, 0)"
5,"(2033922, 0)"
0,"(2035227, 0)"
3,"(2037084, 0)"
0,"(2038379, 0)"
5,"(2040874, 0)"
0,"(2042169, 0)"
5,"(2044356, 0)"
0,"(2045632, 0)"
2,"(2047910, 0)"
0,"(2049205, 0)"
2,"(2051380, 0)"
0,"(2052668, 0)"
4,"(2054477, 0)"
0,"(2055773, 0)"
3,"(2057802, 0)"
0,"(2059096, 0)"
4,"(2061210, 0)"
0,"(2062513, 0)"
3,"(2064603, 0)"
0,"(2065897, 0)"
3,"(2067992, 0)"
0,"(2069284, 0)"
4,"(2070879, 0)"
0,"(2072184, 0)"
2,"(2074696, 0)"
0,"(2075992, 0)"
2,"(2078472, 0)"
0,"(2079751, 0)"
3,"(2082141, 0)"
0,"(2083449, 0)"
2,"(2085367, 0)"
0,"(2086663, 0)"
2,"(2088300, 0)"
0,"(2089579, 0)"
4,"(2091813, 0)"
